from,to,label,width,title
001p,001c,Giovanni - Rome,5,<p><b>1</b><br>Giovanni - Rome !</p>
001p,002c,Giovanni - Florence,1,<p><b>1</b><br>Giovanni - Florence !</p>
001p,003c,Giovanni - Paris,10,<p><b>1</b><br>Giovanni - Paris !</p>
001p,008c,Giovanni - Brisbane,1,<p><b>1</b><br>Giovanni - Brisbane !</p>
001p,010c,Giovanni - Rio de Janeiro,1,<p><b>1</b><br>Giovanni - Rio de Janeiro !</p>
001p,013c,Giovanni - Sydney,1,<p><b>1</b><br>Giovanni - Sydney !</p>
001p,014c,Giovanni - Vancouver,1,<p><b>1</b><br>Giovanni - Vancouver !</p>
002p,001c,Julia - Rome,2,<p><b>1</b><br>Julia - Rome !</p>
002p,003c,Julia - Paris,1,<p><b>1</b><br>Julia - Paris !</p>
002p,004c,Julia - Edinburgh,5,<p><b>1</b><br>Julia - Edinburgh !</p>
002p,005c,Julia - London,6,<p><b>1</b><br>Julia - London !</p>
003p,009c,Rachel - Kyoto,2,<p><b>1</b><br>Rachel - Kyoto !</p>
003p,014c,Rachel - Vancouver,1,<p><b>1</b><br>Rachel - Vancouver !</p>
004p,005c,Ayse - London,2,<p><b>1</b><br>Ayse - London !</p>
005p,001c,Bram - Rome,5,<p><b>1</b><br>Bram - Rome !</p>
005p,002c,Bram - Florence,2,<p><b>1</b><br>Bram - Florence !</p>
005p,003c,Bram - Paris,11,<p><b>1</b><br>Bram - Paris !</p>
005p,004c,Bram - Edinburgh,2,<p><b>1</b><br>Bram - Edinburgh !</p>
005p,005c,Bram - London,6,<p><b>1</b><br>Bram - London !</p>
005p,006c,Bram - Prague,8,<p><b>1</b><br>Bram - Prague !</p>
005p,008c,Bram - Brisbane,7,<p><b>1</b><br>Bram - Brisbane !</p>
005p,009c,Bram - Kyoto,9,<p><b>1</b><br>Bram - Kyoto !</p>
006p,001c,Carmen - Rome,1,<p><b>1</b><br>Carmen - Rome !</p>
006p,002c,Carmen - Florence,2,<p><b>1</b><br>Carmen - Florence !</p>
006p,003c,Carmen - Paris,2,<p><b>1</b><br>Carmen - Paris !</p>
006p,005c,Carmen - London,3,<p><b>1</b><br>Carmen - London !</p>
006p,007c,Carmen - Venice,5,<p><b>1</b><br>Carmen - Venice !</p>
006p,012c,Carmen - Seville,10,<p><b>1</b><br>Carmen - Seville !</p>
007p,005c,Reinier - London,1,<p><b>1</b><br>Reinier - London !</p>
007p,006c,Reinier - Prague,1,<p><b>1</b><br>Reinier - Prague !</p>
008p,001c,Lieke - Rome,1,<p><b>1</b><br>Lieke - Rome !</p>
008p,002c,Lieke - Florence,1,<p><b>1</b><br>Lieke - Florence !</p>
008p,003c,Lieke - Paris,1,<p><b>1</b><br>Lieke - Paris !</p>
008p,005c,Lieke - London,2,<p><b>1</b><br>Lieke - London !</p>
009p,001c,Twan - Rome,1,<p><b>1</b><br>Twan - Rome !</p>
009p,003c,Twan - Paris,5,<p><b>1</b><br>Twan - Paris !</p>
009p,005c,Twan - London,6,<p><b>1</b><br>Twan - London !</p>
009p,006c,Twan - Prague,2,<p><b>1</b><br>Twan - Prague !</p>
010p,001c,Nils - Rome,1,<p><b>1</b><br>Nils - Rome !</p>
010p,003c,Nils - Paris,2,<p><b>1</b><br>Nils - Paris !</p>
010p,004c,Nils - Edinburgh,5,<p><b>1</b><br>Nils - Edinburgh !</p>
010p,011c,Nils - San Sebastién,2,<p><b>1</b><br>Nils - San Sebastién !</p>
011p,001c,Doris - Rome,11,<p><b>1</b><br>Doris - Rome !</p>
011p,003c,Doris - Paris,2,<p><b>1</b><br>Doris - Paris !</p>
012p,001c,Rossella - Rome,6,<p><b>1</b><br>Rossella - Rome !</p>
012p,002c,Rossella - Florence,8,<p><b>1</b><br>Rossella - Florence !</p>
012p,004c,Rossella - Edinburgh,7,<p><b>1</b><br>Rossella - Edinburgh !</p>
012p,005c,Rossella - London,9,<p><b>1</b><br>Rossella - London !</p>
012p,006c,Rossella - Prague,1,<p><b>1</b><br>Rossella - Prague !</p>
012p,007c,Rossella - Venice,2,<p><b>1</b><br>Rossella - Venice !</p>
013p,001c,Felicia - Rome,2,<p><b>1</b><br>Felicia - Rome !</p>
013p,002c,Felicia - Florence,2,<p><b>1</b><br>Felicia - Florence !</p>
013p,003c,Felicia - Paris,6,<p><b>1</b><br>Felicia - Paris !</p>
013p,005c,Felicia - London,8,<p><b>1</b><br>Felicia - London !</p>
014p,001c,Cagla - Rome,9,<p><b>1</b><br>Cagla - Rome !</p>
014p,003c,Cagla - Paris,7,<p><b>1</b><br>Cagla - Paris !</p>
